都道府県,自治体・団体名,ドメイン,生存確認,連絡手段,連絡先/フォームURL,情報元ページ,備考
愛知県,豊橋市あいくる,toyohashi-aikuru.jp,生存,メール,seikatsueisei@city.toyohashi.lg.jp,https://www.city.toyohashi.lg.jp/2776.htm,動物愛護センター「あいくる」トップページ(https://toyohashi-aikuru.jp/)自体にはメールアドレス・問い合わせフォームの記載はなく、電話番号(0532-39-9127)のみ案内されている。トップページからリンクされている豊橋市生活衛生課ページ(https://www.city.toyohashi.lg.jp/2776.htm)にメールアドレス seikatsueisei@c
東京都,東京都収容動物情報,shuyojoho.metro.tokyo.lg.jp,生存,メール,S1150605@section.metro.tokyo.jp（本所・23区担当）／S1150607@section.metro.tokyo.jp（多摩支所担当）,https://www.hokeniryo.metro.tokyo.lg.jp/shisetsu/jigyosyo/douso/toiawase,対象URL(shuyojoho.metro.tokyo.lg.jp)は収容動物情報の掲載ページで、問い合わせ先の記載は電話番号(03-3302-3507)とFAXのみ。メールアドレスは同センターを運営する東京都保健医療局の公式サイト内「お問合せ」ページ(hokeniryo.metro.tokyo.lg.jp)に記載されている。件名なしメールはセキュリティ上ブロックされる場合がある旨の注記あり。
栃木県,栃木県動物愛護指導センター,www.douai.pref.tochigi.lg.jp,生存,メール,doubutsu-asc@pref.tochigi.lg.jp,https://www.douai.pref.tochigi.lg.jp/contact-information/,電話番号028-684-5458(月~金 8:30-17:15)も併記あり。問い合わせフォームへのリンクはページ内に見当たらず、メールまたは電話が推奨されている。
沖縄県,那覇市,www.city.naha.okinawa.jp,生存,メール,NAHAINFO@city.naha.lg.jp,https://www.city.naha.okinawa.jp/about/1005987.html,これは環境衛生課専用ではなく那覇市の一般問い合わせ用メールアドレス。部署別メールは確認できなかった。動物関連の直接窓口は電話(098-951-1530、環境部環境衛生課)が明記されている。フォームは見つからず、電話問い合わせが実質の主手段。
滋賀県,滋賀県動物保護管理センター,www.sapca.jp,生存,メール,sapca@beach.ocn.ne.jp,https://www.sapca.jp/lost,"対象ページ(https://www.sapca.jp/lost)およびトップページ(https://www.sapca.jp/)双方に一般財団法人滋賀県動物保護管理協会の連絡先として、電話番号(0748-75-6522, センター直通0748-75-1911)、FAX(0748-75-3295)、メールアドレス(sapca@beach.ocn.ne.jp)、住所(滋賀県甲賀市岩根136-98)が明"
熊本県,熊本市,www.city.kumamoto.jp,生存,メール,doubutsuaigo@city.kumamoto.lg.jp,https://www.city.kumamoto.jp/doubutuaigo/list03612.html,対象ページ自体に熊本市動物愛護センターの連絡先が明記されていた（住所〒861-8045 熊本市東区小山2丁目11-1、電話096-380-2153、FAX096-380-2185、メールdoubutsuaigo@city.kumamoto.lg.jp）。トップページを別途確認する必要はなかった。
石川県,石川県,www.pref.ishikawa.lg.jp,生存,メール,seieika2@pref.ishikawa.lg.jp,https://www.pref.ishikawa.lg.jp/kensei/soshiki/soshiki/renrakusaki/kenkou.html,担当部署: 健康福祉部薬事衛生課。電話: 076-225-1441 / FAX: 076-225-1444。住所: 〒920-8580 石川県金沢市鞍月1丁目1番地(行政庁舎9階)。対象ページ自体にはメール記載なく、組織連絡先一覧ページ(kenkou.html)から取得した点に留意。
神奈川県,横浜市,www.city.yokohama.lg.jp,生存,メール,ir-douai@city.yokohama.lg.jp,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/pet-dobutsu/aigo/maigo/shuyoinfo.html,担当部署は医療局健康安全部動物愛護センター。電話045-471-2111、FAX045-471-2133も併記あり。ページ内に問い合わせ先として明記されているメールアドレスを採用。
神奈川県,川崎市,www.city.kawasaki.jp,生存,メール,40dobutu@city.kawasaki.jp,https://www.city.kawasaki.jp/350/page/0000077270.html,担当部署: 川崎市健康福祉局保健医療政策部動物愛護センター。電話044-589-7137、FAX044-589-7138も併記あり。対象URL自体に問い合わせ先が明記されていたため、トップページ探索は不要だった。
福井県,福井県,www.pref.fukui.lg.jp,生存,メール,doubutuaigo-c@pref.fukui.lg.jp,https://www.pref.fukui.lg.jp/doc/doukansi/doubutukanrisidou/doukansi-c-4.html,担当部署: 福井県動物愛護センター。電話: 0776-38-2212。住所: 〒918-8165 福井市徳尉町18-1-1。受付時間: 平日8:30-17:15(土日祝・年末年始休)。メールアドレスは対象ページ内に直接記載されていたため、追加でトップページ等を探索する必要はなかった。
静岡県,静岡県,www.pref.shizuoka.jp,生存,メール,eisei@pref.shizuoka.lg.jp,https://www.pref.shizuoka.jp/kensei/introduction/soshiki/1002857/1041025/1024920.html,対象ページ自体（1066835/index.html）は迷い犬一覧で、担当は健康福祉部生活衛生局衛生課（動物愛護班）。電話054-221-2347、FAX054-221-2342、メールeisei@pref.shizuoka.lg.jp。汎用の「各種お問い合わせ」ページ(https://www.pref.shizuoka.jp/kensei/pr/hiroba/1007313.html)には動物愛
静岡県,浜松市はぴまるの丘,www.hama-aikyou.jp,生存,メール,aikyou@city.hamamatsu.shizuoka.jp,https://www.hama-aikyou.jp/hogoinu/index.html,対象ページおよびトップページ(https://www.hama-aikyou.jp/)双方に問い合わせ先(動物愛護教育センター、電話053-487-1616、メールaikyou@city.hamamatsu.shizuoka.jp、住所〒431-1209静岡県浜松市中央区舘山寺町199番地)が明記されている。加えて浜北支所(電話053-585-1398)も窓口として案内あり。フッターに問い合わせフ
香川県,高松市 わんにゃん高松,www.city.takamatsu.kagawa.jp,生存,メール,seikatsueisei@city.takamatsu.lg.jp,https://www.city.takamatsu.kagawa.jp/udanimo/ani_infolist1.html?infotype=1&animaltype=1,対象ページのフッター(問い合わせ先欄)に高松市保健所 生活衛生課の連絡先が明記されていた: 電話087-839-2865、FAX087-839-2879、メールseikatsueisei@city.takamatsu.lg.jp、住所〒760-0074 高松市桜町一丁目10番27号 高松市保健所1階。トップページ(https://www.city.takamatsu.kagawa.jp/)には全庁
香川県,さぬき動物愛護センター,www.pref.kagawa.lg.jp,生存,メール,s-doubutuaigo@pref.kagawa.lg.jp,https://www.pref.kagawa.lg.jp/s-doubutuaigo/sanukidouaicenter/,問い合わせフォーム(Webフォーム)は見当たらず。メールアドレスと電話/FAXが公式の連絡手段。念のため2回のWebFetchでメールアドレス記載を再確認済み。
鳥取県,鳥取県,www.pref.tottori.lg.jp,生存,メール,kurashi@pref.tottori.lg.jp,https://www.pref.tottori.lg.jp/221001.htm,担当部署は鳥取県 生活環境部 くらしの安心推進課。ページ内に直接メールアドレス(kurashi@pref.tottori.lg.jp)と電話番号(0857-26-7593)、FAX(0857-26-8171)の記載あり。フォームは確認していないがメール記載があるため不要。
兵庫県,神戸市動物管理センター,www.city.kobe.lg.jp,生存,フォーム,https://kobecity.form.kintoneapp.com/public/35198634359250862fbe52ac36e689a3efe094763b48ebc889044470727322b4?pageid=807&title=収容犬猫情報&url=https://www.city.kobe.lg.jp/a84140/kenko/health/hygiene/animal/zmenu/index.html,https://www.city.kobe.lg.jp/a84140/kenko/health/hygiene/animal/zmenu/index.html,対象ページ自体に「お問い合わせフォーム」リンク(kintoneapp製フォーム)が設置されている。メールアドレスの記載はなし。電話問い合わせ先は078-771-7497(神戸市動物管理センター、受付8:45-17:30・土日祝除く)。関連ページとして「動物管理センター及び警察署会計課の連絡先」(/a84140/kenko/health/hygiene/animal/h0496.html)、市全体の
兵庫県,あかし動物センター,www.city.akashi.lg.jp,生存,フォーム,https://logoform.jp/form/eHmi/771018,https://www.city.akashi.lg.jp/kankyou/dobutsu/,あかし動物センターの案内ページ(https://www.city.akashi.lg.jp/kankyou/dobutsu/)に「こちらのフォームからお問い合わせください」との案内があり、外部フォームサービス(LoGoフォーム)のURLが掲載されている。フォーム自体はCookie必須のJS動作で内容の直接確認はできなかったが、明石市公式ページからのリンク先であることは確認済み。メールアドレスの記載
北海道,札幌市,www.city.sapporo.jp,生存,フォーム,https://docs.google.com/forms/d/e/1FAIpQLScGB-lUOqykd0MILsAmJXpjL7hzStCwTBGdvbv_fME3yYwuWw/viewform,https://www.city.sapporo.jp/inuneko/syuuyou_doubutsu/maigoinu.html,メールアドレスの記載はなし。ページ内の連絡先は電話(011-736-6134、動物愛護管理センター)・ファクス(011-736-6137)、および迷子動物届出用のGoogleフォームリンクのみ。フォームは一般問い合わせ用ではなく「迷子動物届出」専用の可能性がある点に留意。
千葉県,千葉県動愛センター本所,www.pref.chiba.lg.jp,生存,フォーム,https://www.pref.chiba.lg.jp/form/b_kouhou_center_teian-j/form.html,https://www.pref.chiba.lg.jp/,動物愛護センター保護指導課専用のメールアドレスは見つからなかった。連絡手段は電話(0476-93-5711)・FAX(0476-93-5326)が明記されている。メール相当の手段としては千葉県庁全体の「県民の声(ご意見・ご質問)」共通フォーム(https://www.pref.chiba.lg.jp/form/b_kouhou_center_teian-j/form.html)があり、これは部署を
千葉県,船橋市,www.city.funabashi.lg.jp,生存,フォーム,https://www.city.funabashi.lg.jp/inquiry/mailform070204.html?PAGE_NO=13242,https://www.city.funabashi.lg.jp/kurashi/doubutsu/003/p013242.html,担当部署は動物愛護指導センター(電話047-435-3916、FAX047-435-3917)。メールアドレスの明記はなく、問い合わせは専用Webフォーム経由。フォームページ自体にも「至急の場合は電話で」との案内があり、メールアドレスはページ上に見当たらない。
千葉県,柏市,www.city.kashiwa.lg.jp,生存,フォーム,https://faq2.city.kashiwa.lg.jp/helpdesk?category_id=392&site_domain=default,https://www.city.kashiwa.lg.jp/dobutsuaigo/shiseijoho/shisei/health_hospital/mainmenu/dobutsu/hogo/hogo.html,対象ページに柏市動物愛護ふれあいセンター(保健所)の電話番号(04-7190-2828)と住所(〒277-0924 千葉県柏市風早二丁目4番地3)、および問い合わせフォームへのリンクが記載されていた。フォームは柏市FAQサイト(okbiz→faq2.city.kashiwa.lg.jp)経由で「保健所動物愛護ふれあいセンター」宛のカテゴリが指定されている。メールアドレスの明記は確認できなかったため
和歌山県,和歌山市動物愛護管理センター,www.city.wakayama.wakayama.jp,生存,フォーム,https://logoform.jp/form/fKMM/484310?r[27:text]=https://www.city.wakayama.wakayama.jp/kurashi/kenko_iryo/1009125/1035775/1002096.html,https://www.city.wakayama.wakayama.jp/kurashi/kenko_iryo/1009125/1035775/1002096.html,"ページ内にメールアドレスの記載はなし。問い合わせは専用のWebフォーム(logoform.jp)経由。担当部署は健康局健康推進部生活保健課動物愛護管理センター(電話073-488-2032、FAX073-488-2033、住所〒640-8422 和歌山市松江東3丁目2番63号)。</notes>
</invoke>
"
埼玉県,さいたま市,www.city.saitama.lg.jp,生存,フォーム,https://www.city.saitama.lg.jp/inquiry/mailform0012610.html?PAGE_NO=3138,https://www.city.saitama.lg.jp/008/004/003/004/p003138.html,担当部署: 保健衛生局 保健部 動物愛護ふれあいセンター。電話048-840-4150、FAX 048-840-4159（受付8:30-17:15、日月祝休み）。メールアドレスは対象ページ・問い合わせフォームいずれにも記載なし。フォームは動物愛護ふれあいセンター宛と明記されているWeb問い合わせフォーム。
埼玉県,越谷市,www.city.koshigaya.saitama.jp,生存,フォーム,https://www.city.koshigaya.saitama.jp/toiawase/toiawase.html,https://www.city.koshigaya.saitama.jp/toiawase/toiawase.html,動物管理センター専用のメールアドレスは公式サイト上に見当たらなかった。問い合わせは市の共通メールフォーム(各課へのお問い合わせ)経由で、フォーム内で担当課(生活衛生課など)を選択する方式。電話連絡先は048-969-8511(動物管理センター直通)。推測でメールアドレスを作成していない。
大分県,大分市,www.city.oita.oita.jp,生存,フォーム,https://www.city.oita.oita.jp/o029/shisejoho/kohokocho/1268121393592.html （「ご意見ご要望」ページ内で「お問い合わせフォーム」の利用が案内されているが、フォーム自体への直接リンクURLはページ内テキストとして明示されていない）,https://www.city.oita.oita.jp/o029/shisejoho/kohokocho/1268121393592.html,対象ページ(inunohogo/index.html)にはメールアドレス・専用問い合わせフォームの記載なし。トップページにもメールアドレスの明記はなし。大分市サイト全体の「市民の声」内「ご意見ご要望」ページに問い合わせフォーム案内があるが、実URLはHTML内でJS等により生成されている可能性があり、WebFetch経由のテキスト抽出では取得できなかった。確実な連絡手段は市役所代表電話 097-5
大分県,おおいた動物愛護センター,oita-aigo.com,生存,フォーム,https://oita-aigo.com/contact/,https://oita-aigo.com/contact/,トップページ(https://oita-aigo.com/)およびlostchildページに「お問い合わせ」リンクがあり、https://oita-aigo.com/contact/ にWebフォームが設置されている。メールアドレスの明記はなし。フォームページ上部には「回答を要する案件は電話(097-588-1122、平日8:30-17:15)または窓口来訪を推奨」との注記あり。管轄別の電話番号(
大阪府,大阪市,www.city.osaka.lg.jp,生存,フォーム,https://sc.city.osaka.lg.jp/mail/inquiry.cgi?so=baaf99269305b9527292f4fc31ecb9e3099b2009&ref=kenko%2Fpage%2F0000110901.html,https://www.city.osaka.lg.jp/kenko/page/0000110901.html,"ページ下部「このページの作成者・問合せ先」欄に大阪市健康局生活衛生部動物管理センター(電話06-6685-3700, FAX06-6686-4507, 住所〒559-0021 大阪市住之江区柴谷2丁目5番74号)への問い合わせフォームリンクが記載されている。プレーンテキストのメールアドレスは見つからず、代わりにWebメールフォーム(inquiry.cgi、セッショントークン付きURL)が用意されて"
大阪府,豊中市,www.city.toyonaka.osaka.jp,生存,フォーム,https://www.city.toyonaka.osaka.jp/cgi-bin/formmail/formmail.cgi?d=001050060010000,https://www.city.toyonaka.osaka.jp/kurashi/pettp-inuneko/maigo.html,担当部署は健康医療部 保健安全課(豊中市保健所)。ページ内に「このページの作成担当にメールを送る」リンクがあり、これは formmail.cgi によるWebフォーム(mailto直リンクではない)。参考の電話番号:06-6152-7321、FAX:06-6152-7728。直接のメールアドレス記載は見つからなかった。
大阪府,東大阪市,www.city.higashiosaka.lg.jp,生存,フォーム,https://www.city.higashiosaka.lg.jp/module/shareform.php?so_cd=12-11-0-0-0,https://www.city.higashiosaka.lg.jp/0000005910.html,ページ内にメールアドレスの明記はなし。電話072(963)6211・FAX072(963)1644は掲載されているが、メール/フォームの条件のためcontact_valueにはお問い合わせフォームURLを記載。フォームURLはWebFetch(AI要約)経由で抽出したhref値であり、直接HTMLソースを目視確認したものではない点に留意。
大阪府,枚方市,www.city.hirakata.osaka.jp,生存,フォーム,https://www.city.hirakata.osaka.jp/mailform/inquiry.cgi?so=95b6e0a7ef707daa13d6a18df17c2aaf0c068f39&ref=https%3A%2F%2Fwww.city.hirakata.osaka.jp%2F0000001430.html,https://www.city.hirakata.osaka.jp/0000001430.html,ページ内にメールアドレスの直接記載はなし。問い合わせ先は枚方市保健所衛生課(電話072-807-7624、FAX072-845-0685)で、フォーム経由の問い合わせリンクが同ページ下部に設置されている。
奈良県,奈良市,www.city.nara.lg.jp,生存,フォーム,https://9c6d4b3b.form.kintoneapp.com/public/naracity-contactcenter,https://www.city.nara.lg.jp/soshiki/3/8837.html,対象ページ(https://www.city.nara.lg.jp/life/4/34/134/)自体にメールアドレスの記載はなし。ページ下部の「お問い合わせ」リンクから https://www.city.nara.lg.jp/soshiki/3/8837.html (広報課の全庁共通お問い合わせ案内)に遷移し、そこにkintoneAppベースの問い合わせフォームURLが明記されていた。動物愛護担
富山県,富山県,www.pref.toyama.jp,生存,フォーム,https://www.pref.toyama.jp/1021/kensei/kenseisanka/kenseisanka/form.html,https://www.pref.toyama.jp/1021/kensei/kenseisanka/kenseisanka/form.html,対象ページ内にメールアドレスの記載はなく、電話・FAX番号のみ(生活衛生課: 076-444-3230/FAX 076-444-3497、動物管理センター: 076-462-3467/FAX 076-462-3494)。県サイト共通の「県政参加/ご意見・ご質問」フォームが問い合わせ手段として案内されている。部署名を選択して送信する形式と推測されるが、フォーム内の部署選択肢までは確認していない。
岡山県,岡山県動物愛護センター,www.pref.okayama.jp,生存,フォーム,https://www.pref.okayama.jp/form/detail.php?sec_sec1=191,https://www.pref.okayama.jp/soshiki/191/,対象ページ(859555.html)自体にはメールアドレス記載なし、電話086-724-9512/FAX086-724-9513のみ。動物愛護センターの組織ページ(soshiki/191)に問い合わせフォームリンクを発見。なお検索でヒットしたokadouaizai@mx9.tiki.ne.jpは「公益財団法人岡山県動物愛護財団」という別法人（岡山県動物愛護財団のトップページ ww9.tiki.ne
岡山県,岡山市,www.city.okayama.jp,生存,フォーム,https://com.city.okayama.jp/cmsys-etc/ques/contact2.cgi?mail=0150000005,https://www.city.okayama.jp/shisei/0000001222.html,対象ページ(保護動物情報カテゴリ)自体には担当課直通のメールアドレスや専用フォームは見当たらなかった。トップページ(https://www.city.okayama.jp/)から辿れる全庁共通の「市政へのご意見・ご提案」フォームのみ確認。フォームはメール送信ではなくWeb投稿フォームで、送信者アドレスは自動送信されない(返信希望の場合は本人がメールアドレスを入力する仕様)。担当部署への電話問い合わ
岡山県,倉敷市,www.city.kurashiki.okayama.jp,生存,フォーム,https://www.city.kurashiki.okayama.jp/cgi-enq/contacts/G290040020,https://www.city.kurashiki.okayama.jp/kurashi/pet/1013042/index.html,対象ページ内に「倉敷市保健所 生活衛生課 動物管理係」宛の問い合わせフォームリンク(https://www.city.kurashiki.okayama.jp/cgi-enq/contacts/G290040020)が確認できた。フォームURLへの直接WebFetchはHTTP 400(認証/セッション/リファラ要件によるものと推測、ブラウザからは正常に開ける可能性が高い)。電話086-434-9
岩手県,岩手県,www.pref.iwate.jp,生存,フォーム,https://www.pref.iwate.jp/cgi-bin/contacts/C03230101,https://www.pref.iwate.jp/kurashikankyou/anzenanshin/pet/1004615.html,ページ内にメールアドレスの直接記載はなく、「お問い合わせは専用フォームをご利用ください」として上記のオンライン問い合わせフォームへ誘導されている。担当部署は環境生活部県民くらしの安全課食の安全安心担当、電話019-629-5385、FAX019-629-5279。
広島県,広島県動物愛護センター,www.pref.hiroshima.lg.jp,生存,フォーム,https://www.pref.hiroshima.lg.jp/form/detail.php?sec_sec1=180&lif_id=1137531,https://www.pref.hiroshima.lg.jp/site/apc/jouto-stray-dog-list.html,ページ内にメールアドレスの記載はなし。問い合わせはページ下部の「お問い合わせフォームはこちらから」リンク経由のWebフォームのみ。参考: 電話 0848-60-8511、FAX 0848-86-8012（広島県動物愛護センター、三原市本郷町上北方字用倉山11352番）。
広島県,福山市,www.city.fukuyama.hiroshima.jp,生存,フォーム,https://www.city.fukuyama.hiroshima.jp/form/detail.php?sec_sec1=187,https://www.city.fukuyama.hiroshima.jp/soshiki/dobutsuaigo/237722.html,ページ内に動物愛護センターの電話番号(084-970-1201、8:30-17:15、土日祝・年末年始除く)の記載あり。メールアドレスの明記は見つからなかったが、問い合わせフォームへのリンクが確認できたため contact_method=form とした。
愛媛県,愛媛県動物愛護センター,www.pref.ehime.jp,生存,フォーム,https://www.pref.ehime.jp/form/detail.php?sec_sec1=58&lif_id=153797,https://www.pref.ehime.jp/page/16976.html,対象ページ内に「メールでのお問い合わせはこちら」というリンクがあり、担当課(動物愛護センター)宛の問い合わせフォームに遷移する仕組み。フォームURL自体がメールアドレス代替のCGI窓口で、メールアドレスの直接記載は確認できなかった。参考: 動物愛護センター 電話089-977-9200 / FAX089-914-5415、住所〒791-0133 松山市東川町乙44-7。
愛知県,愛知県わんにゃんナビ,wannyan-navi.pref.aichi.jp,生存,フォーム,https://www.pref.aichi.jp/form/detail.php?sec_sec1=111,https://www.pref.aichi.jp/soshiki/doukan-c/,wannyan-navi.pref.aichi.jp自体のサイト内に明示的な問い合わせページ/メールアドレスをWebFetchで確認できなかった(SPA構造のため)。動物愛護関連の里親情報を管轄する愛知県動物愛護センター(https://www.pref.aichi.jp/soshiki/doukan-c/)のページに「メールでの問合せはこちら」というリンクがあり、そのリンク先は問い合わせフォーム
愛知県,豊田市動物愛護センター,www.city.toyota.aichi.jp,生存,フォーム,https://www.city.toyota.aichi.jp/cgi-bin/contacts/ay02030,https://www.city.toyota.aichi.jp/kurashi/sumai/pet/1003696.html,ページ内に「お問合せは専用フォームをご利用ください」との記載があり、メールアドレスの明記はなし。電話番号(0565-42-2533)・FAX(0565-80-2020)・住所(愛知県豊田市矢並町法沢715-4 鞍ケ池公園内)は記載あり。担当部署: 豊田市動物愛護センター。
愛知県,岡崎市,www.city.okazaki.lg.jp,生存,フォーム,https://cdp.city.okazaki.lg.jp/help_portal?id=hp_sc_cat_item&sys_id=b622ee562bb47e104461f77ace91bf14&ref=hp&dep=100055400000,https://www.city.okazaki.lg.jp/1100/1149/1149/p008181.html,対象ページ(保護動物情報)内に「動物総合センター 動物1係」(〒444-0011 岡崎市欠町字大山田1番地、TEL 0564-27-0402、FAX 0564-23-6262)の連絡先記載あり。メールアドレスの明記は見つからず、代わりに市の問い合わせポータル(help_portal)の専用フォームリンクがページ内に設置されている。フォームURLはWebFetch経由でHTMLから抽出したもので、直
